ecotype id	nativename	170_Anthocyanin 10	171_Anthocyanin 16	172_Anthocyanin 22	77_LES	78_YEL 	79_LY 	167_Chlorosis 10	168_Chlorosis 16	169_Chlorosis 22	176_Leaf roll 10	177_Leaf roll 16	178_Leaf roll 22	8_Seed Dormancy	277_Secondary Dormancy	281_Storage 7 days	282_Storage 28 days	283_Storage 56 days	179_Rosette Erect 22	1_LD	2_LDV	3_SD	4_SDV	5_FT10	6_FT16	7_FT22	43_FLC	44_FRI	33_<i>avrRpm1</i>	34_<i>avrRpt2</i>	35_<i>avrB</i>	161_Germ 10	162_Germ 16	163_Germ 22	278_Germ in dark	279_DSDS50	273_Vern Growth	274_After Vern Growth	60_FT Duration GH	61_LC Duration GH	62_LFS GH	63_MT GH	64_RP GH	158_Silique 16	159_Silique 22	
5837	Bor-1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	34.0	1.47791	2.75	15.0	81.3899	0.0	41.875	25.0	75.6667	42.3333	57.0	50.0	43.0	0.813	2.4135	1.0	1.0	1.0	7.0	4.0	2.0	4.16667	41.2545	0.00198257	0.0599347	22.505	72.08	57.1281	14.6875	37.0721	1.4	0.9	
6008	Duk	0.0	0.0	0.0	NA	NA	NA	0.0	1.0	1.0	1.0	0.0	0.0	NA	NA	NA	NA	NA	0.0	26.0	24.6667	69.6667	58.0	60.0	41.0	24.0	0.018	0.243	NA	NA	NA	5.0	3.0	2.0	NA	NA	NA	NA	16.4742	58.0526	41.0804	16.5362	33.3679	NA	NA	
6009	Eden-1	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.499325	70.1875	98.4375	100.0	1.0	200.0	47.0	NA	74.6667	98.0	151.0	250.0	0.939	1.3987	1.0	1.0	1.0	5.0	4.0	4.0	65.0948	5.24274	0.00239152	0.0877888	NA	NA	NA	NA	NA	1.4	0.9	
6016	Eds-1	0.0	1.0	1.0	NA	NA	NA	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	1.0	83.0417	35.0	200.0	55.0	75.0	101.0	113.0	2.084	1.89	NA	NA	NA	7.0	3.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
6040	Kni-1	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	1.0	200.0	43.2	200.0	78.0	71.0	92.0	87.0	2.321	1.901	NA	NA	NA	7.0	3.0	2.0	NA	NA	NA	NA	32.6043	111.196	97.3101	13.1144	45.7053	NA	NA	
6042	Lom1-1	0.0	1.0	0.0	NA	NA	NA	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	0.0	29.1667	28.0	83.3403	53.6667	56.0	35.0	29.0	0.052	0.425	NA	NA	NA	5.0	3.0	2.0	NA	NA	NA	NA	21.1135	62.6891	45.6661	16.9943	38.2066	NA	NA	
6043	Löv-1	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.09419	56.75	98.4127	100.0	1.0	200.0	52.8333	200.0	99.0	90.0	174.0	250.0	1.49	1.7791	NA	1.0	NA	5.0	3.0	2.0	42.1667	7.94253	0.00524101	0.103636	NA	NA	NA	NA	NA	1.5	0.9	
6046	Löv-5	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.516917	35.0	100.0	100.0	0.5	200.0	51.25	200.0	117.2	93.0	150.0	250.0	3.324	4.3861	NA	1.0	1.0	5.0	4.0	2.0	77.5	12.4755	0.0113693	0.170716	NA	NA	NA	NA	NA	1.5	0.9	
6064	Nyl-2	0.0	1.0	1.0	NA	NA	NA	1.0	1.0	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	1.0	200.0	42.0	200.0	NA	96.0	201.0	250.0	1.234	0.838	NA	NA	NA	7.0	3.0	2.0	NA	NA	NA	NA	NA	NA	127.604	NA	NA	NA	NA	
6074	Ör-1	0.0	0.0	1.0	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	1.0	200.0	43.6	200.0	135.333	91.0	97.0	123.0	1.628	1.112	NA	NA	NA	7.0	3.0	2.0	NA	NA	NA	NA	12.3641	115.924	116.162	-0.492884	11.8976	NA	NA	
