MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	11		response to insulin			ISO	RGD:2006 	J:155856 	
MGI:2661081	Acvr1c	activin A receptor, type IC	2		response to insulin			IMP	MGI:3512292 	J:136322 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		cellular response to insulin stimulus			IGI	MGI:88157 	J:126780 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		cellular response to insulin stimulus			ISO	RGD:628748 	J:155856 	
MGI:1919924	Adipor1	adiponectin receptor 1	1		positive regulation of insulin receptor signaling pathway			ISO	RGD:1303151 	J:155856 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		positive regulation of glucose import in response to insulin stimulus			ISO	RGD:2069 	J:155856 	
MGI:107189	Ahsg	alpha-2-HS-glycoprotein	16		negative regulation of insulin receptor signaling pathway			ISO	RGD:2075 	J:155856 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		cellular response to insulin stimulus			IDA		J:126754 J:145864 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		cellular response to insulin stimulus			IMP		J:126754 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		cellular response to insulin stimulus			ISO	P31749 	J:164563 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		cellular response to insulin stimulus			ISO	RGD:2081 	J:155856 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		cellular response to insulin stimulus			ISO	P47196 	J:73065 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		insulin receptor signaling pathway			IMP		J:113828 J:114062 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		insulin receptor signaling pathway			ISO	RGD:2081 	J:155856 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		insulin receptor signaling pathway			ISO	P31749 	J:164563 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		cellular response to insulin stimulus			IDA		J:176652 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		cellular response to insulin stimulus			ISO	P31751 	J:164563 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		cellular response to insulin stimulus			ISO	P47197 	J:73065 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		insulin receptor signaling pathway			IDA		J:182891 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		insulin receptor signaling pathway			ISO	P31751 	J:164563 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		positive regulation of glucose import in response to insulin stimulus			IGI	MGI:1921991 	J:176652 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		response to insulin			ISO	RGD:2082 	J:155856 	
MGI:1345147	Akt3	thymoma viral proto-oncogene 3	1		cellular response to insulin stimulus			ISO	NP_005456 	J:54026 	
MGI:1345147	Akt3	thymoma viral proto-oncogene 3	1		cellular response to insulin stimulus			ISO	Q63484 	J:73065 	
MGI:1917887	Ankrd26	ankyrin repeat domain 26	6		negative regulation of insulin receptor signaling pathway	regulates a function/process that happens in white fat		IMP	MGI:3774418 	J:178128 	
