DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2009-09-28	17998437	Li H	2007-11-12	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/17998437	Candidate single-nucleotide polymorphisms from a genomewide association study of Alzheimer disease.	Alzheimer's disease	753 European ancestry cases, 736 European ancestry controls	418 European ancestry cases, 249 European ancestry controls	19q13.32	19	44919689	APOE, APOC1	APOC1 - APOC1P1	341	342		340	7114	rs4420638-?	rs4420638	0	4420638	downstream_gene_variant	1	NR	2E-44	43.69897000433602				Affymetrix [469438]	N
2009-01-21	19118814	Beecham GW	2009-01-03	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19118814	Genome-wide association study implicates a chromosome 12 risk locus for late-onset Alzheimer disease.	Alzheimer's disease	492 European ancestry cases, 496 European ancestry controls	238 European ancestry cases, 220 European ancestry controls	12q13.11	12	47245743	FAM113B	LOC105369746			105369746			rs11610206-?	rs11610206	0	11610206	intron_variant	0	NR	3E-7	6.522878745280337				Illumina [~ 2500000] (imputed)	N
2009-01-21	19118814	Beecham GW	2009-01-03	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19118814	Genome-wide association study implicates a chromosome 12 risk locus for late-onset Alzheimer disease.	Alzheimer's disease	492 European ancestry cases, 496 European ancestry controls	238 European ancestry cases, 220 European ancestry controls	1q42.2	1	231708601	DISC1	TSNAX-DISC1, DISC1			100303453, 27185			rs12044355-?	rs12044355	0	12044355	intron_variant	0	NR	9E-6	5.045757490560675				Illumina [~ 2500000] (imputed)	N
2009-01-21	19118814	Beecham GW	2009-01-03	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19118814	Genome-wide association study implicates a chromosome 12 risk locus for late-onset Alzheimer disease.	Alzheimer's disease	492 European ancestry cases, 496 European ancestry controls	238 European ancestry cases, 220 European ancestry controls	19q13.31	19	44110055	ZNF224	LOC100379224			100379224			rs2061333-?	rs2061333	0	2061333	intron_variant	0	NR	2E-6	5.698970004336019				Illumina [~ 2500000] (imputed)	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	19q13.32	19	44892362	APOE, TOMM40	TOMM40			10452			rs2075650-G	rs2075650	0	2075650	intron_variant	0	0.20	5E-36	35.30102999566398		2.94	[2.48-3.47]	Illumina [483399]	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	6q25.1	6	150885942	MTHFD1L	MTHFD1L			25902			rs11754661-A	rs11754661	0	11754661	intron_variant	0	0.07	2E-10	9.698970004336019		2.1	[1.67-2.64]	Illumina [483399]	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	19q13.32	19	44878777	PVRL2	PVRL2			5819			rs6859-A	rs6859	0	6859	3_prime_UTR_variant	0	0.46	1E-7	7.0		1.41	[1.24-1.60]	Illumina [483399]	N
2010-10-14	20885792	Naj AC	2010-09-23	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	931 cases, 1,104 controls	1,338 cases, 2,003 controls	2q13	2	109018801	intergenic	RANBP2			5903			rs4676049-A	rs4676049	0	4676049	intergenic_variant	0	0.08	4E-8	7.3979400086720375		1.76	[1.44-2.15]	Illumina [483399]	N
2011-01-12	21123754	Kim S	2010-12-01	Neurology	www.ncbi.nlm.nih.gov/pubmed/21123754	Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.	Alzheimer's disease biomarkers	96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls	NA	2q23.1	2	148800291	EPC2	EPC2 - RNU2-9P	26122	106481636		11800	25400	rs2121433-?	rs2121433	0	2121433	intergenic_variant	1	NR	1E-6	6.0	(t-tau)			Illumina [322557]	N
2011-01-12	21123754	Kim S	2010-12-01	Neurology	www.ncbi.nlm.nih.gov/pubmed/21123754	Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.	Alzheimer's disease biomarkers	96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls	NA	19q13.32	19	44892009	TOMM40	TOMM40			10452			rs157580-?	rs157580	0	157580	intron_variant	0	NR	1E-6	6.0	(AB1-42)			Illumina [322557]	N
2011-01-12	21123754	Kim S	2010-12-01	Neurology	www.ncbi.nlm.nih.gov/pubmed/21123754	Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.	Alzheimer's disease biomarkers	96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls	NA	19q13.32	19	44911194	LOC100129500	APOE - APOC1	348	341		1799	3053	rs439401-?	rs439401	0	439401	non_coding_transcript_exon_variant	1	NR	1E-6	6.0	(AB1-42)			Illumina [322557]	N
2011-01-12	21123754	Kim S	2010-12-01	Neurology	www.ncbi.nlm.nih.gov/pubmed/21123754	Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.	Alzheimer's disease biomarkers	96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls	NA	22q13.2	22	41822852	CCDC134	CCDC134			79879			rs7364180-?	rs7364180	0	7364180	intron_variant	0	NR	1E-6	6.0	(AB1-42)			Illumina [322557]	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	1q32.3	1	213944747	intergenic	PROX1-AS1			100505832			rs340849-?	rs340849	0	340849	intron_variant	0	NR	8E-6	5.096910013008056		1.69	[1.33-2.13]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	2p24.2	2	17246318	intergenic	RN7SKP168 - ZFYVE9P2	106479170	100420972		123178	37974	rs11889338-A	rs11889338	0	11889338	intergenic_variant	1	0.26	9E-6	5.045757490560675		1.55	[1.28-1.88]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	2p23.3	2	27684606	SLC4A1AP	SLC4A1AP			22950			rs17006206-G	rs17006206	0	17006206	intron_variant	0	0.10	2E-6	5.698970004336019		2.05	[1.52-2.76]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	3p24.1	3	28887369	intergenic	LINC00693 - LOC105377009	645206	105377009		129032	155508	rs2221154-?	rs2221154	0	2221154	intron_variant	1	NR	3E-6	5.522878745280337		1.75	[1.39-2.22]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	4p16.3	4	2101369	POLN	POLN			353497			rs1923775-T	rs1923775	0	1923775	intron_variant	0	0.25	6E-6	5.221848749616356		1.6	[1.30-1.95]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	7q35	7	147200311	CNTNAP2	CNTNAP2			26047			rs10273775-G	rs10273775	0	10273775	intron_variant	0	0.42	9E-6	5.045757490560675		1.52	[1.27-1.84]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	8q24.13	8	121897448	intergenic	LOC105375732 - MRPS36P3	105375732	347704		212706	194022	rs956225-A	rs956225	0	956225	intron_variant	1	NR	9E-6	5.045757490560675		3.33	[1.96-5.56]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	12q24.21	12	114942588	intergenic	LOC107984437 - LOC102723639	107984437	102723639		105103	70554	rs10850408-?	rs10850408	0	10850408	intergenic_variant	1	NR	9E-7	6.045757490560675		1.59	[1.32-1.92]	Illumina [2505093] (imputed)	N
2012-01-06	22159054	Logue MW	2011-12-01	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/22159054	A comprehensive genetic association study of Alzheimer disease in African Americans.	Alzheimer's disease	513 African American cases, 496 African American controls	NA	13q12.13	13	26150190	intergenic	ATP8A2P3, RNF6			100874518, 6049			rs17511627-C	rs17511627	0	17511627	intron_variant	0	0.17	5E-6	5.301029995663981		1.75	[1.37-2.22]	Illumina [2505093] (imputed)	N
